date,FSS_S01_B1_003,FSS_S01_B1_004,FSS_S01_B2_005
2017/4/28,2.734544,4.146702,4.691553
2017/4/29,2.406976,3.297574,4.365296
2017/4/30,2.079407,2.448446,4.03904
2017/5/1,1.588055,2.165404,3.549655
2017/5/2,1.260487,2.165404,3.223399
2017/5/3,1.260487,2.448446,3.223399
2017/5/4,1.424271,2.448446,3.386527
2017/5/5,1.260487,2.448446,3.223399
2017/5/6,1.260487,1.599319,3.223399
2017/5/7,0.932918,1.033234,2.897143
2017/5/8,0.932918,1.599319,2.897143
2017/5/9,0.769134,1.882361,2.734015
2017/5/10,1.588055,1.316276,3.549655
2017/5/11,0.932918,0.467148,2.897143
2017/5/12,0.441566,0.184106,2.407758
2017/5/13,0.60535,-0.098937,2.570887
2017/5/14,0.277782,-0.665022,2.24463
2017/5/15,0.113998,-0.665022,2.081502
2017/5/16,-0.377355,-1.231107,1.592118
2017/5/17,-0.377355,-1.231107,1.592118
2017/5/18,-0.377355,-2.080234,1.592118
2017/5/19,-0.704923,-2.64632,1.265862
2017/5/20,-1.196276,-3.77849,0.776477
2017/5/21,-1.523844,-4.344575,0.450221
2017/5/22,-1.851412,-4.627618,0.123965
2017/5/23,-1.851412,-4.061532,0.123965
2017/5/24,-2.17898,-4.344575,-0.202291
2017/5/25,-1.851412,-3.212405,0.123965
2017/5/26,-4.0637,-5.731648,2.343761
2017/5/27,-2.342765,-4.91066,-0.36542
2017/5/28,-2.670333,-6.04283,-0.691676
2017/5/29,-2.997901,-7.175001,-1.017932
2017/5/30,-3.653038,-7.175001,-1.670445
2017/5/31,-3.816822,-8.024128,-1.833573
2017/6/1,-3.980606,-8.590214,-1.996701
2017/6/2,-4.14439,-8.873256,-2.159829
2017/6/3,-4.635743,-9.439341,-2.649214
2017/6/4,-4.635743,-8.873256,-2.649214
2017/6/5,-4.799527,-8.024128,-2.812342
2017/6/6,-4.471958,-7.458043,-2.486086
2017/6/7,-3.980606,-6.891958,-1.996701
2017/6/8,-3.980606,-7.175001,-1.996701
2017/6/9,-4.308174,-7.741086,-2.322957
2017/6/10,-4.14439,-7.175001,-2.159829
2017/6/11,-3.980606,-7.458043,-1.996701
2017/6/12,-4.308174,-7.741086,-2.322957
2017/6/13,-4.308174,-7.741086,-2.322957
2017/6/14,-4.308174,-7.458043,-2.322957
2017/6/15,-4.308174,-8.024128,-2.322957
2017/6/16,-4.308174,-8.024128,-2.322957
2017/6/17,-4.308174,-8.024128,-2.322957
2017/6/18,-4.308174,-8.30717,-2.322957
2017/6/19,-4.635743,-8.024128,-2.649213
2017/6/20,-4.635743,-8.590213,-2.649213
2017/6/21,-4.963311,-9.156298,-2.97547
2017/6/22,-5.127095,-9.156298,-3.138598
2017/6/23,-4.799527,-9.156298,-2.812341
2017/6/24,-4.963311,-9.156298,-2.97547
2017/6/25,-4.963311,-9.722383,-2.97547
2017/6/26,-5.127095,-10.005426,-3.138598
2017/6/27,-5.127095,-10.288468,-3.138598
2017/6/28,-5.782232,-10.571511,-3.79111
2017/6/29,-5.782232,-11.137596,-3.79111
2017/6/30,-5.946016,-11.137596,-3.954238
2017/7/1,-5.946016,-10.854553,-3.954238
2017/7/2,-5.618448,-10.571511,-3.627982
2017/7/3,-5.782232,-10.854553,-3.79111
2017/7/4,-6.1098,-11.420639,-4.117367
2017/7/5,-6.1098,-11.986724,-4.117367
2017/7/6,-6.1098,-12.835851,-4.117367
2017/7/7,-6.601152,-13.118894,-4.606751
2017/7/8,-6.601152,-13.401937,-4.606751
2017/7/9,-6.928721,-13.401937,-4.933007
