date,FSS_S06_B1_003,FSS_S06_B1_004,FSS_S06_B2_005,FSS_S06_B2_006,FSS_S06_B4_009,FSS_S06_B4_010,FSS_S06_B5_011,FSS_S06_B5_012,FSS_S06_B6_013,FSS_S06_B6_014,FSS_S06_B7_015,FSS_S06_B7_016,FSS_S06_F_019,FSS_S06_F_020,FSS_S06_L2_017,FSS_S06_L2_018,FSS_S07_B1_003,FSS_S07_B1_004,FSS_S07_B2_005,FSS_S07_B2_006,FSS_S07_B3_007,FSS_S07_B3_008,FSS_S07_B4_009,FSS_S07_B4_010,FSS_S07_B5_011,FSS_S07_B5_012,FSS_S07_B6_013,FSS_S07_B6_014,FSS_S07_F_019,FSS_S07_F_020,FSS_S07_L1_001,FSS_S07_L1_002,FSS_S07_L2_017,FSS_S07_L2_018,FSS_S08_B1_003,FSS_S08_B1_004,FSS_S08_B2_005,FSS_S08_B2_006,FSS_S08_B3_007,FSS_S08_B3_008,FSS_S08_B6_013,FSS_S08_B6_014,FSS_S08_B7_015,FSS_S08_B7_016
2020-01-29,-169.8621362132508,372358.4580581628,-163.35399205092725,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-174.2097137435649,370554.84793531586,-184.79400445844863,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.706497752453166,-5.055402950841759,1.8768341834383473,-23.333542836692473,1.5412802875817615,16.03613587952178,5.485304229530234,13.913915585530157,-1.5907083828338662,-1.8853384296499276,-100239.83568473197,-193454.86168733903,707.8197804562044,417.77418661200505,645.3428688875293,-197227.95053350204,-2.3201510037565822,-3.587194301132257,-3.9601606578365107,-3.505910886472382,0.4944256049337432,-25.912391420971105,-3.140955415666076,-198226.34702293607,16.28310285727933,26.544953140035098,5.818449222607079,-12.563397818591787
2020-01-30,-169.8530711509781,372358.4580581628,-163.32994128258892,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-174.118457139968,370554.84793531586,-184.66686573464386,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.617678541132128,-5.0963595538427295,1.8047049977823812,-23.178253925589516,1.5545502223900134,15.98450267752521,5.506803749882427,13.68652980580691,-1.5416776494864473,-1.9418486289458383,-100239.83568473197,-193454.86168733903,707.8197804562044,417.61999654911534,645.3428688875293,-197227.95053350204,-2.2905257538513633,-3.8077963241554995,-4.023636482232928,-3.57552982947907,0.4428280414224619,-25.94972896109939,-3.2243432625363275,-198226.34702293607,16.15080734744912,26.31432980275702,5.691789232999167,-12.606589080057418
2020-01-31,-169.81120430611807,372358.4580581628,-163.2744752458151,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-174.002602757595,370554.84793531586,-184.54132663416226,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.614177852395543,-5.3262386107599005,1.702582020868854,-23.240992843307257,1.4938352242205464,15.706377186887718,5.475206412259486,13.378672868266376,-1.549050377887553,-2.1764541232527894,-100239.83568473197,-193454.86168733903,707.8197804562044,417.5023729740932,645.3428688875293,-197227.95053350204,-2.2843119824577562,-3.987064836353657,-4.156107767929796,-3.8004525684237525,0.35592688182451315,-26.16308633326103,-3.3346304148445522,-198226.34702293607,16.007928196832502,26.105159799186964,5.551654776413019,-12.806348664336058
2020-02-01,-169.7013759661552,372358.4580581628,-163.13855152917844,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-173.8157392645999,370554.84793531586,-184.33100635893928,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.63939111616046,-5.270867819440893,1.7068772221685684,-23.216096695995194,1.4286911976488814,15.625554161207297,5.44453807745828,13.31815374691221,-1.558213775291967,-2.089919907017968,-100239.83568473197,-193454.86168733903,707.8197804562044,417.59111593069326,645.3428688875293,-197227.95053350204,-2.304195016582128,-4.010273538499945,-4.263740687566028,-4.0200200040663185,0.2635943997516961,-26.33377223099397,-3.479886664226121,-198226.34702293607,15.891508148180117,25.87989979534229,5.503146695287328,-12.876534464217734
2020-02-02,-169.6151664923242,372358.4580581628,-163.04281275758788,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-173.59038198135408,370554.84793531586,-184.03809950646715,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.481352063330027,-4.638435822043276,1.8709475776768456,-22.713956736294794,1.4651978852442107,16.103356143086952,5.39768449553977,13.52542981028651,-1.4172226252801083,-1.5057488686360836,-100239.83568473197,-193454.86168733903,707.8197804562044,417.8212873241644,645.3428688875293,-197227.95053350204,-2.3186554050323607,-3.857101016988717,-4.269260324470696,-3.730833625417066,0.2690257222265666,-26.029737975660012,-3.490646386402534,-198226.34702293607,15.886216327784503,25.681456458621987,5.592078177349563,-12.64978034152309
2020-02-03,-169.69921445986316,372358.4580581628,-163.1057436256333,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-173.43956379009984,370554.84793531586,-183.8638043636289,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.373480351704858,-4.439826307385157,1.9408611111325977,-22.343813467117215,1.414466855471975,16.150662945356714,5.422074921800867,13.4565062331941,-1.3843779304225996,-1.3440543128872493,-100239.83568473197,-193454.86168733903,707.8197804562044,417.7358223199577,645.3428688875293,-197227.95053350204,-2.4293777123310645,-4.009928196697844,-4.07883285127329,-3.114973744973292,0.41024010657323373,-25.57101962551252,-3.442227636608675,-198226.34702293607,15.788317650500524,25.525919789300666,5.699873913191991,-12.207069911500204
2020-02-04,-169.74354399392786,372358.4580581628,-163.14161271004826,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-173.30761340375787,370554.84793531586,-183.7396534413163,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.062877907283942,-4.039559328851913,2.0661313343488024,-21.645333972435726,1.682637903653958,16.432005767946958,5.54971620936275,13.587149568174707,-1.0861045657088213,-1.116679362606721,-100239.83568473197,-193454.86168733903,707.8197804562044,417.7658329030381,645.3428688875293,-197227.95053350204,-2.2340645643442847,-3.8748804838606175,-4.100911398889433,-2.954314645722225,0.4727003150342557,-25.43233733360381,-3.3964988173589203,-198226.34702293607,15.783025830107315,25.670729791772242,5.699873913191991,-12.244862265282668
2020-02-05,-169.81691566118198,372358.4580581628,-163.1745585689291,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-173.23149582689877,370554.84793531586,-183.7003365550302,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.111329462304297,-4.233970897668672,2.0145018659037612,-21.639868920574596,1.6345471405082823,16.37842019249554,5.547067730866484,13.384328398718065,-1.088781817024132,-1.0760735599257814,-100239.83568473197,-193454.86168733903,707.8197804562044,417.6363863110831,645.3428688875293,-197227.95053350204,-2.2637418058857093,-4.071081147349561,-4.034675756041001,-2.7026153902194654,0.5215822173105682,-25.34699438473068,-3.4207081922558507,-198226.34702293607,15.71687807519162,25.681456458621984,5.769941141483225,-11.94252343500841
2020-02-06,-169.77879537081265,372358.4580581628,-163.11389850374786,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-173.21925284910338,370554.84793531586,-183.6826875525287,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.268476063866851,-4.569942011476128,1.965303988103174,-22.113423521426487,1.5079909647165315,16.177400797389375,5.484098166804394,13.250004314196062,-1.1742735919719487,-1.2966368713584706,-100239.83568473197,-193454.86168733903,707.8197804562044,417.64009386102373,645.3428688875293,-197227.95053350204,-2.3375740079635805,-4.25723857801537,-4.0512346667531105,-3.04535480195565,0.4971412661711785,-25.693700114505457,-3.5067859696671517,-198226.34702293607,15.656022140669723,25.633186457798132,5.751076887711613,-11.974916881102736
2020-02-07,-169.83229472642054,372358.4580581628,-163.18928756914855,371891.66173460206,-85302.78129233846,206457.92711912407,-81137.46278623411,209501.09866198504,-173.30264161030829,370554.84793531586,-183.78989016908673,367938.38252951304,-84998.96231653969,209157.36453759007,-82673.08258757633,208441.528432369,-5.1833303321687305,-4.414201083719074,2.0319784448830673,-22.21209183835273,1.6486685801638123,16.685423725360803,5.634237242510244,13.530311196361941,-1.1180451738855686,-1.5583023281383008,-100239.83568473197,-193454.86168733903,707.8197804562044,417.99194656301347,645.3428688875293,-197227.95053350204,-2.227850792942688,-3.9049781044781495,-4.205784500069883,-3.618372255944724,0.35864254306194976,-25.9763986326196,-3.5390651361963856,-198226.34702293607,15.67718942224256,25.601006457248893,5.554349669807563,-12.439222941878052
